id,StartUhrZeit,EndUhrzeit,Prozess,Betreff
23,2024-07-22 18:50:46,2024-07-22 19:19:46,Prozess_B,Aufgabe_Z
24,2024-07-24 13:59:46,2024-07-24 15:21:46,Prozess_E,Aufgabe_Y
25,2024-07-17 03:14:46,2024-07-17 04:25:46,Prozess_C,Aufgabe_Y
26,2024-07-31 16:59:46,2024-07-31 17:26:46,Prozess_B,Aufgabe_X
27,2024-08-08 04:32:46,2024-08-08 05:39:46,Prozess_D,Aufgabe_Z
28,2024-08-05 00:44:46,2024-08-05 02:18:46,Prozess_B,Aufgabe_Z
29,2024-07-14 21:02:46,2024-07-14 21:47:46,Prozess_B,Aufgabe_Z
30,2024-07-28 23:51:46,2024-07-29 00:52:46,Prozess_B,Aufgabe_X
31,2024-07-27 04:47:46,2024-07-27 05:35:46,Prozess_C,Aufgabe_V
32,2024-08-07 19:46:46,2024-08-07 20:21:46,Prozess_C,Aufgabe_Y
33,2024-07-12 01:33:46,2024-07-12 02:06:46,Prozess_E,Aufgabe_X
34,2024-07-09 21:15:46,2024-07-09 23:02:46,Prozess_A,Aufgabe_X
35,2024-08-04 12:47:46,2024-08-04 13:59:46,Prozess_C,Aufgabe_X
36,2024-08-06 02:28:46,2024-08-06 03:50:46,Prozess_B,Aufgabe_Z
37,2024-07-27 19:43:46,2024-07-27 21:37:46,Prozess_C,Aufgabe_W
38,2024-08-03 10:36:46,2024-08-03 10:42:46,Prozess_B,Aufgabe_W
39,2024-08-02 21:51:46,2024-08-02 23:13:46,Prozess_C,Aufgabe_Y
40,2024-07-28 13:56:46,2024-07-28 15:44:46,Prozess_E,Aufgabe_Y
41,2024-08-01 13:38:46,2024-08-01 14:16:46,Prozess_D,Aufgabe_Y
42,2024-07-22 17:20:46,2024-07-22 18:49:46,Prozess_E,Aufgabe_X
43,2024-07-11 02:55:46,2024-07-11 04:23:46,Prozess_E,Aufgabe_Y
44,2024-08-07 13:43:46,2024-08-07 14:17:46,Prozess_D,Aufgabe_Y
45,2024-07-28 14:21:46,2024-07-28 14:59:46,Prozess_D,Aufgabe_V
46,2024-08-03 13:56:46,2024-08-03 14:43:46,Prozess_A,Aufgabe_V
47,2024-07-16 17:38:46,2024-07-16 19:34:46,Prozess_B,Aufgabe_W
48,2024-07-27 14:09:46,2024-07-27 15:54:46,Prozess_B,Aufgabe_X
49,2024-07-12 20:55:46,2024-07-12 21:16:46,Prozess_A,Aufgabe_V
50,2024-07-23 16:24:46,2024-07-23 16:26:46,Prozess_C,Aufgabe_Z
51,2024-07-23 16:59:46,2024-07-23 17:41:46,Prozess_D,Aufgabe_Y
52,2024-07-19 12:22:46,2024-07-19 12:23:46,Prozess_A,Aufgabe_V
53,2024-08-03 07:49:46,2024-08-03 09:05:46,Prozess_C,Aufgabe_X
54,2024-07-14 16:57:46,2024-07-14 18:06:46,Prozess_D,Aufgabe_X
55,2024-08-05 22:52:46,2024-08-05 23:47:46,Prozess_E,Aufgabe_X
56,2024-07-29 23:28:46,2024-07-30 00:13:46,Prozess_E,Aufgabe_Z
57,2024-07-18 02:47:46,2024-07-18 03:50:46,Prozess_A,Aufgabe_V
58,2024-07-14 14:10:46,2024-07-14 14:44:46,Prozess_E,Aufgabe_X
59,2024-08-05 17:22:46,2024-08-05 19:03:46,Prozess_A,Aufgabe_Y
60,2024-07-17 11:16:46,2024-07-17 11:59:46,Prozess_D,Aufgabe_X
61,2024-07-27 23:47:46,2024-07-28 00:35:46,Prozess_D,Aufgabe_Z
62,2024-07-25 01:33:46,2024-07-25 02:51:46,Prozess_E,Aufgabe_V
63,2024-08-02 06:52:46,2024-08-02 07:23:46,Prozess_B,Aufgabe_X
64,2024-07-20 15:59:46,2024-07-20 17:55:46,Prozess_C,Aufgabe_W
65,2024-07-13 11:52:46,2024-07-13 12:58:46,Prozess_D,Aufgabe_W
66,2024-07-09 23:14:46,2024-07-10 00:19:46,Prozess_D,Aufgabe_V
67,2024-07-17 16:44:46,2024-07-17 18:21:46,Prozess_D,Aufgabe_X
68,2024-07-14 18:35:46,2024-07-14 18:47:46,Prozess_B,Aufgabe_W
69,2024-08-07 13:26:46,2024-08-07 14:22:46,Prozess_A,Aufgabe_V
70,2024-07-19 00:35:46,2024-07-19 02:12:46,Prozess_B,Aufgabe_W
71,2024-07-21 13:07:46,2024-07-21 14:54:46,Prozess_E,Aufgabe_V
72,2024-08-04 21:29:46,2024-08-04 21:35:46,Prozess_D,Aufgabe_Z
73,2024-07-22 21:22:46,2024-07-22 23:17:46,Prozess_E,Aufgabe_V
74,2024-08-06 18:54:46,2024-08-06 20:28:46,Prozess_D,Aufgabe_W
75,2024-07-28 23:17:46,2024-07-29 00:57:46,Prozess_D,Aufgabe_X
76,2024-07-31 16:37:46,2024-07-31 16:47:46,Prozess_C,Aufgabe_Y
77,2024-07-21 03:52:46,2024-07-21 05:49:46,Prozess_A,Aufgabe_V
78,2024-07-10 23:01:46,2024-07-11 00:42:46,Prozess_A,Aufgabe_Y
79,2024-08-03 21:05:46,2024-08-03 22:36:46,Prozess_D,Aufgabe_Z
80,2024-08-04 17:10:46,2024-08-04 17:45:46,Prozess_A,Aufgabe_X
81,2024-07-14 00:01:46,2024-07-14 00:39:46,Prozess_D,Aufgabe_W
82,2024-07-16 07:55:46,2024-07-16 08:49:46,Prozess_D,Aufgabe_Z
83,2024-07-30 05:43:46,2024-07-30 07:28:46,Prozess_B,Aufgabe_X
84,2024-08-03 01:10:46,2024-08-03 01:47:46,Prozess_C,Aufgabe_X
85,2024-07-19 21:52:46,2024-07-19 23:01:46,Prozess_A,Aufgabe_Z
86,2024-07-28 08:07:46,2024-07-28 09:48:46,Prozess_B,Aufgabe_W
87,2024-08-01 16:02:46,2024-08-01 17:58:46,Prozess_E,Aufgabe_Z
88,2024-07-30 11:20:46,2024-07-30 13:08:46,Prozess_C,Aufgabe_Y
89,2024-07-11 14:18:46,2024-07-11 15:59:46,Prozess_D,Aufgabe_Z
90,2024-07-31 04:00:46,2024-07-31 04:55:46,Prozess_A,Aufgabe_Y
91,2024-07-12 03:08:46,2024-07-12 03:13:46,Prozess_D,Aufgabe_W
92,2024-08-08 07:35:46,2024-08-08 08:15:46,Prozess_A,Aufgabe_Z
93,2024-07-23 04:41:46,2024-07-23 06:21:46,Prozess_C,Aufgabe_X
94,2024-07-20 23:23:46,2024-07-21 00:56:46,Prozess_E,Aufgabe_W
95,2024-07-21 10:56:46,2024-07-21 12:43:46,Prozess_A,Aufgabe_X
96,2024-07-25 10:25:46,2024-07-25 10:37:46,Prozess_A,Aufgabe_Z
97,2024-07-17 03:56:46,2024-07-17 04:06:46,Prozess_C,Aufgabe_W
98,2024-07-28 15:46:46,2024-07-28 17:39:46,Prozess_B,Aufgabe_X
99,2024-07-29 17:09:46,2024-07-29 19:00:46,Prozess_C,Aufgabe_V
100,2024-08-08 18:56:46,2024-08-08 20:44:46,Prozess_A,Aufgabe_Y
101,2024-07-31 15:24:46,2024-07-31 16:51:46,Prozess_E,Aufgabe_X
102,2024-07-10 08:37:46,2024-07-10 09:11:46,Prozess_A,Aufgabe_Z
103,2024-08-07 05:09:46,2024-08-07 05:53:46,Prozess_C,Aufgabe_V
104,2024-07-12 06:32:46,2024-07-12 08:22:46,Prozess_E,Aufgabe_X
105,2024-07-19 09:59:46,2024-07-19 10:18:46,Prozess_A,Aufgabe_Y
106,2024-07-12 13:57:46,2024-07-12 14:29:46,Prozess_A,Aufgabe_Y
107,2024-07-10 00:00:46,2024-07-10 00:18:46,Prozess_E,Aufgabe_X
108,2024-08-01 08:43:46,2024-08-01 10:32:46,Prozess_A,Aufgabe_Y
109,2024-07-14 15:48:46,2024-07-14 16:49:46,Prozess_D,Aufgabe_Y
110,2024-08-04 15:48:46,2024-08-04 15:50:46,Prozess_C,Aufgabe_Z
111,2024-07-15 21:38:46,2024-07-15 23:18:46,Prozess_B,Aufgabe_V
112,2024-07-10 21:09:46,2024-07-10 22:25:46,Prozess_A,Aufgabe_V
113,2024-07-18 00:09:46,2024-07-18 01:04:46,Prozess_B,Aufgabe_V
114,2024-07-13 18:35:46,2024-07-13 19:19:46,Prozess_E,Aufgabe_V
115,2024-07-27 07:28:46,2024-07-27 07:49:46,Prozess_C,Aufgabe_Z
116,2024-07-18 11:19:46,2024-07-18 12:30:46,Prozess_C,Aufgabe_Y
117,2024-07-19 02:33:46,2024-07-19 02:35:46,Prozess_C,Aufgabe_Z
118,2024-07-18 09:18:46,2024-07-18 09:37:46,Prozess_B,Aufgabe_Y
119,2024-07-30 03:35:46,2024-07-30 04:39:46,Prozess_D,Aufgabe_W
120,2024-07-20 04:46:46,2024-07-20 05:47:46,Prozess_A,Aufgabe_Y
121,2024-07-18 14:15:46,2024-07-18 15:01:46,Prozess_B,Aufgabe_V
122,2024-07-12 21:22:46,2024-07-12 22:20:46,Prozess_E,Aufgabe_W
123,2024-08-08 12:50:46,2024-08-08 14:45:46,Prozess_D,Aufgabe_W
124,2024-07-11 05:05:46,2024-07-11 06:42:46,Prozess_D,Aufgabe_V
125,2024-08-08 06:24:46,2024-08-08 07:26:46,Prozess_E,Aufgabe_Z
126,2024-08-03 15:09:46,2024-08-03 15:40:46,Prozess_D,Aufgabe_Z
127,2024-08-06 23:58:46,2024-08-07 00:18:46,Prozess_C,Aufgabe_Z
128,2024-08-05 00:54:46,2024-08-05 02:20:46,Prozess_D,Aufgabe_V
129,2024-08-08 00:55:46,2024-08-08 01:10:46,Prozess_D,Aufgabe_X
130,2024-07-19 12:40:46,2024-07-19 12:43:46,Prozess_C,Aufgabe_X
131,2024-07-25 06:26:46,2024-07-25 07:06:46,Prozess_B,Aufgabe_V
132,2024-08-02 03:16:46,2024-08-02 03:58:46,Prozess_E,Aufgabe_W
133,2024-08-05 18:16:46,2024-08-05 18:31:46,Prozess_C,Aufgabe_Y
134,2024-08-05 15:34:46,2024-08-05 15:38:46,Prozess_C,Aufgabe_W
135,2024-08-08 06:02:46,2024-08-08 07:11:46,Prozess_C,Aufgabe_Z
136,2024-07-26 03:16:46,2024-07-26 04:09:46,Prozess_D,Aufgabe_X
137,2024-07-26 08:04:46,2024-07-26 08:56:46,Prozess_A,Aufgabe_V
138,2024-08-06 11:08:46,2024-08-06 11:58:46,Prozess_B,Aufgabe_Z
139,2024-07-18 10:56:46,2024-07-18 11:34:46,Prozess_A,Aufgabe_Z
140,2024-07-18 20:43:46,2024-07-18 21:52:46,Prozess_A,Aufgabe_W
141,2024-07-23 22:02:46,2024-07-23 23:14:46,Prozess_E,Aufgabe_Y
142,2024-08-07 22:27:46,2024-08-07 23:02:46,Prozess_B,Aufgabe_X
143,2024-07-18 06:28:46,2024-07-18 07:08:46,Prozess_E,Aufgabe_Z
144,2024-07-16 01:38:46,2024-07-16 03:19:46,Prozess_B,Aufgabe_X
145,2024-08-01 13:40:46,2024-08-01 13:43:46,Prozess_C,Aufgabe_W
146,2024-07-26 02:52:46,2024-07-26 03:41:46,Prozess_E,Aufgabe_W
147,2024-07-27 19:14:46,2024-07-27 20:41:46,Prozess_A,Aufgabe_Y
148,2024-08-04 02:58:46,2024-08-04 03:27:46,Prozess_D,Aufgabe_X
149,2024-08-01 10:39:46,2024-08-01 12:35:46,Prozess_C,Aufgabe_X
150,2024-07-28 03:19:46,2024-07-28 05:07:46,Prozess_D,Aufgabe_V
151,2024-07-13 11:24:46,2024-07-13 13:17:46,Prozess_D,Aufgabe_Z
152,2024-07-25 11:19:46,2024-07-25 12:51:46,Prozess_A,Aufgabe_Z
153,2024-07-15 06:31:46,2024-07-15 06:43:46,Prozess_D,Aufgabe_Y
154,2024-08-04 00:36:46,2024-08-04 01:36:46,Prozess_E,Aufgabe_X
155,2024-08-09 04:52:46,2024-08-09 05:59:46,Prozess_C,Aufgabe_X
156,2024-07-20 22:35:46,2024-07-21 00:00:46,Prozess_C,Aufgabe_W
157,2024-08-08 00:53:46,2024-08-08 02:22:46,Prozess_D,Aufgabe_Y
158,2024-07-25 15:57:46,2024-07-25 17:43:46,Prozess_D,Aufgabe_W
159,2024-07-19 22:57:46,2024-07-20 00:11:46,Prozess_C,Aufgabe_Z
160,2024-07-30 14:28:46,2024-07-30 15:11:46,Prozess_E,Aufgabe_Y
161,2024-07-31 10:30:46,2024-07-31 12:27:46,Prozess_B,Aufgabe_W
162,2024-07-30 16:39:46,2024-07-30 17:50:46,Prozess_E,Aufgabe_V
163,2024-07-24 01:53:46,2024-07-24 02:18:46,Prozess_D,Aufgabe_Z
164,2024-07-26 03:51:46,2024-07-26 04:54:46,Prozess_C,Aufgabe_V
165,2024-08-08 00:27:46,2024-08-08 00:34:46,Prozess_C,Aufgabe_Z
166,2024-08-01 01:18:46,2024-08-01 01:56:46,Prozess_B,Aufgabe_W
167,2024-08-04 06:14:46,2024-08-04 07:15:46,Prozess_B,Aufgabe_Y
168,2024-07-11 05:28:46,2024-07-11 05:59:46,Prozess_C,Aufgabe_W
169,2024-07-30 15:12:46,2024-07-30 16:21:46,Prozess_C,Aufgabe_Z
170,2024-07-11 09:48:46,2024-07-11 10:30:46,Prozess_A,Aufgabe_Y
171,2024-07-25 19:43:46,2024-07-25 21:36:46,Prozess_B,Aufgabe_Y
172,2024-07-11 21:17:46,2024-07-11 22:03:46,Prozess_C,Aufgabe_Z
173,2024-07-28 13:55:46,2024-07-28 15:35:46,Prozess_B,Aufgabe_V
174,2024-08-06 04:32:46,2024-08-06 04:48:46,Prozess_B,Aufgabe_W
175,2024-08-01 04:19:46,2024-08-01 05:25:46,Prozess_A,Aufgabe_W
176,2024-07-15 23:45:46,2024-07-16 00:40:46,Prozess_D,Aufgabe_X
177,2024-07-09 18:34:46,2024-07-09 19:30:46,Prozess_C,Aufgabe_Y
178,2024-07-12 17:47:46,2024-07-12 18:22:46,Prozess_E,Aufgabe_Z
179,2024-07-22 17:11:46,2024-07-22 18:28:46,Prozess_E,Aufgabe_Z
180,2024-07-11 19:12:46,2024-07-11 20:30:46,Prozess_E,Aufgabe_X
181,2024-07-23 18:25:46,2024-07-23 19:24:46,Prozess_E,Aufgabe_Z
182,2024-07-23 18:51:46,2024-07-23 20:46:46,Prozess_D,Aufgabe_W
183,2024-07-25 17:59:46,2024-07-25 19:52:46,Prozess_C,Aufgabe_Z
184,2024-07-18 20:36:46,2024-07-18 21:02:46,Prozess_C,Aufgabe_X
185,2024-07-24 03:09:46,2024-07-24 04:37:46,Prozess_C,Aufgabe_Z
186,2024-07-20 15:28:46,2024-07-20 17:10:46,Prozess_A,Aufgabe_W
187,2024-07-28 01:44:46,2024-07-28 03:31:46,Prozess_A,Aufgabe_X
188,2024-07-31 17:06:46,2024-07-31 17:08:46,Prozess_A,Aufgabe_X
189,2024-08-06 13:29:46,2024-08-06 14:24:46,Prozess_E,Aufgabe_X
190,2024-07-29 09:47:46,2024-07-29 10:10:46,Prozess_E,Aufgabe_V
191,2024-07-19 15:54:46,2024-07-19 16:48:46,Prozess_A,Aufgabe_X
192,2024-07-21 10:48:46,2024-07-21 12:24:46,Prozess_D,Aufgabe_V
193,2024-07-26 05:22:46,2024-07-26 06:31:46,Prozess_E,Aufgabe_X
194,2024-07-23 08:24:46,2024-07-23 09:36:46,Prozess_A,Aufgabe_W
195,2024-08-02 08:05:46,2024-08-02 09:37:46,Prozess_D,Aufgabe_Z
196,2024-07-19 12:09:46,2024-07-19 13:32:46,Prozess_A,Aufgabe_Z
197,2024-08-05 14:31:46,2024-08-05 16:27:46,Prozess_A,Aufgabe_V
198,2024-07-17 23:16:46,2024-07-18 00:26:46,Prozess_C,Aufgabe_X
199,2024-07-31 18:08:46,2024-07-31 19:46:46,Prozess_C,Aufgabe_V
200,2024-07-15 04:09:46,2024-07-15 04:42:46,Prozess_B,Aufgabe_V
201,2024-07-10 16:11:46,2024-07-10 17:04:46,Prozess_B,Aufgabe_Z
202,2024-07-12 16:56:46,2024-07-12 18:28:46,Prozess_C,Aufgabe_W
203,2024-07-27 08:48:46,2024-07-27 09:51:46,Prozess_A,Aufgabe_W
204,2024-08-02 03:06:46,2024-08-02 04:51:46,Prozess_A,Aufgabe_W
205,2024-07-11 21:08:46,2024-07-11 22:23:46,Prozess_C,Aufgabe_Y
206,2024-07-15 21:16:46,2024-07-15 22:33:46,Prozess_E,Aufgabe_Y
207,2024-08-07 05:32:46,2024-08-07 05:37:46,Prozess_D,Aufgabe_Z
208,2024-07-19 22:36:46,2024-07-19 23:18:46,Prozess_D,Aufgabe_V
209,2024-07-29 09:47:46,2024-07-29 10:04:46,Prozess_A,Aufgabe_Z
210,2024-07-15 02:38:46,2024-07-15 03:07:46,Prozess_E,Aufgabe_V
211,2024-08-04 20:34:46,2024-08-04 21:04:46,Prozess_D,Aufgabe_X
212,2024-07-26 21:55:46,2024-07-26 22:42:46,Prozess_E,Aufgabe_Y
213,2024-07-31 09:52:46,2024-07-31 10:52:46,Prozess_C,Aufgabe_W
214,2024-07-22 09:47:46,2024-07-22 11:32:46,Prozess_A,Aufgabe_X
215,2024-07-11 05:41:46,2024-07-11 07:24:46,Prozess_E,Aufgabe_Z
216,2024-07-19 00:18:46,2024-07-19 01:43:46,Prozess_B,Aufgabe_Y
217,2024-07-12 06:11:46,2024-07-12 08:05:46,Prozess_E,Aufgabe_Z
218,2024-07-26 12:49:46,2024-07-26 14:27:46,Prozess_E,Aufgabe_Z
219,2024-07-21 06:32:46,2024-07-21 07:41:46,Prozess_C,Aufgabe_X
220,2024-07-19 09:59:46,2024-07-19 11:56:46,Prozess_C,Aufgabe_V
221,2024-08-04 05:12:46,2024-08-04 05:24:46,Prozess_A,Aufgabe_V
222,2024-08-04 05:44:46,2024-08-04 06:49:46,Prozess_D,Aufgabe_X
223,2024-07-14 05:12:46,2024-07-14 06:10:46,Prozess_A,Aufgabe_Z
224,2024-07-16 09:07:46,2024-07-16 10:31:46,Prozess_D,Aufgabe_X
225,2024-08-08 16:42:46,2024-08-08 17:36:46,Prozess_A,Aufgabe_W
226,2024-07-12 09:13:46,2024-07-12 09:33:46,Prozess_B,Aufgabe_X
227,2024-07-24 18:59:46,2024-07-24 20:08:46,Prozess_D,Aufgabe_W
228,2024-07-12 00:37:46,2024-07-12 00:55:46,Prozess_D,Aufgabe_V
229,2024-07-10 12:43:46,2024-07-10 13:47:46,Prozess_C,Aufgabe_Y
230,2024-07-30 21:31:46,2024-07-30 23:24:46,Prozess_D,Aufgabe_W
231,2024-07-28 11:10:46,2024-07-28 11:16:46,Prozess_E,Aufgabe_X
232,2024-08-08 08:27:46,2024-08-08 09:39:46,Prozess_E,Aufgabe_W
233,2024-08-04 02:03:46,2024-08-04 02:23:46,Prozess_C,Aufgabe_W
234,2024-08-05 06:02:46,2024-08-05 08:02:46,Prozess_C,Aufgabe_W
235,2024-07-13 17:59:46,2024-07-13 18:49:46,Prozess_B,Aufgabe_X
236,2024-07-17 23:00:46,2024-07-18 00:53:46,Prozess_A,Aufgabe_Z
237,2024-07-14 04:25:46,2024-07-14 06:01:46,Prozess_D,Aufgabe_Y
238,2024-08-02 04:46:46,2024-08-02 05:30:46,Prozess_B,Aufgabe_Z
239,2024-07-19 11:13:46,2024-07-19 12:10:46,Prozess_B,Aufgabe_Z
240,2024-07-22 14:34:46,2024-07-22 15:02:46,Prozess_E,Aufgabe_V
241,2024-07-19 02:38:46,2024-07-19 03:09:46,Prozess_C,Aufgabe_V
242,2024-07-24 11:54:46,2024-07-24 13:32:46,Prozess_C,Aufgabe_W
243,2024-07-10 18:58:46,2024-07-10 19:58:46,Prozess_A,Aufgabe_V
244,2024-08-09 11:10:46,2024-08-09 11:41:46,Prozess_E,Aufgabe_X
245,2024-07-14 02:31:46,2024-07-14 03:56:46,Prozess_C,Aufgabe_V
246,2024-07-13 11:58:46,2024-07-13 12:56:46,Prozess_D,Aufgabe_Y
247,2024-08-05 23:29:46,2024-08-06 01:22:46,Prozess_C,Aufgabe_Z
248,2024-07-29 16:34:46,2024-07-29 17:49:46,Prozess_E,Aufgabe_Z
249,2024-08-03 05:32:46,2024-08-03 06:53:46,Prozess_D,Aufgabe_X
250,2024-08-03 23:53:46,2024-08-04 00:21:46,Prozess_C,Aufgabe_Z
251,2024-07-30 06:32:46,2024-07-30 07:52:46,Prozess_B,Aufgabe_W
252,2024-07-16 21:30:46,2024-07-16 21:35:46,Prozess_B,Aufgabe_Z
253,2024-07-16 19:00:46,2024-07-16 19:25:46,Prozess_A,Aufgabe_Y
254,2024-07-19 05:21:46,2024-07-19 06:08:46,Prozess_A,Aufgabe_Y
255,2024-08-04 08:44:46,2024-08-04 09:25:46,Prozess_A,Aufgabe_Z
256,2024-07-10 22:02:46,2024-07-10 23:06:46,Prozess_C,Aufgabe_V
257,2024-07-13 23:43:46,2024-07-14 01:29:46,Prozess_A,Aufgabe_X
258,2024-08-04 07:53:46,2024-08-04 08:21:46,Prozess_C,Aufgabe_V
259,2024-07-28 23:18:46,2024-07-28 23:26:46,Prozess_E,Aufgabe_W
260,2024-08-08 10:59:46,2024-08-08 12:42:46,Prozess_A,Aufgabe_V
261,2024-07-11 10:48:46,2024-07-11 11:48:46,Prozess_A,Aufgabe_W
262,2024-08-02 20:01:46,2024-08-02 21:04:46,Prozess_E,Aufgabe_Y
263,2024-07-21 09:47:46,2024-07-21 11:12:46,Prozess_D,Aufgabe_Y
264,2024-07-16 23:31:46,2024-07-17 00:33:46,Prozess_B,Aufgabe_X
265,2024-07-20 02:08:46,2024-07-20 02:21:46,Prozess_B,Aufgabe_V
266,2024-07-29 21:15:46,2024-07-29 21:54:46,Prozess_A,Aufgabe_Y
267,2024-07-30 19:25:46,2024-07-30 20:09:46,Prozess_E,Aufgabe_Z
268,2024-07-28 00:25:46,2024-07-28 01:36:46,Prozess_C,Aufgabe_V
269,2024-07-27 10:23:46,2024-07-27 11:02:46,Prozess_C,Aufgabe_V
270,2024-08-08 03:31:46,2024-08-08 04:05:46,Prozess_C,Aufgabe_Y
271,2024-08-03 08:02:46,2024-08-03 08:23:46,Prozess_D,Aufgabe_Y
272,2024-07-10 22:31:46,2024-07-10 22:51:46,Prozess_E,Aufgabe_Z
273,2024-08-01 07:46:46,2024-08-01 07:51:46,Prozess_A,Aufgabe_W
274,2024-08-02 14:06:46,2024-08-02 15:25:46,Prozess_A,Aufgabe_Z
275,2024-07-14 22:19:46,2024-07-14 23:10:46,Prozess_C,Aufgabe_X
276,2024-08-02 12:32:46,2024-08-02 12:52:46,Prozess_A,Aufgabe_W
277,2024-07-11 05:23:46,2024-07-11 06:08:46,Prozess_A,Aufgabe_Y
278,2024-07-30 06:05:46,2024-07-30 07:33:46,Prozess_B,Aufgabe_W
279,2024-08-03 22:59:46,2024-08-03 23:21:46,Prozess_A,Aufgabe_W
280,2024-07-24 11:22:46,2024-07-24 12:34:46,Prozess_C,Aufgabe_W
281,2024-07-16 00:49:46,2024-07-16 01:05:46,Prozess_C,Aufgabe_V
282,2024-07-21 12:10:46,2024-07-21 12:26:46,Prozess_E,Aufgabe_Z
283,2024-07-12 03:57:46,2024-07-12 04:01:46,Prozess_D,Aufgabe_Y
284,2024-07-25 04:52:46,2024-07-25 05:48:46,Prozess_C,Aufgabe_V
285,2024-08-02 20:57:46,2024-08-02 22:10:46,Prozess_D,Aufgabe_W
286,2024-07-28 09:20:46,2024-07-28 09:53:46,Prozess_E,Aufgabe_V
287,2024-07-12 00:09:46,2024-07-12 01:49:46,Prozess_C,Aufgabe_V
288,2024-07-15 03:43:46,2024-07-15 05:18:46,Prozess_E,Aufgabe_V
289,2024-07-14 10:41:46,2024-07-14 12:13:46,Prozess_C,Aufgabe_Y
290,2024-07-27 09:02:46,2024-07-27 09:14:46,Prozess_E,Aufgabe_V
291,2024-07-28 08:43:46,2024-07-28 08:53:46,Prozess_E,Aufgabe_W
292,2024-07-30 17:33:46,2024-07-30 18:03:46,Prozess_C,Aufgabe_Y
293,2024-07-29 06:14:46,2024-07-29 06:33:46,Prozess_E,Aufgabe_V
294,2024-07-13 12:30:46,2024-07-13 13:26:46,Prozess_C,Aufgabe_V
295,2024-08-08 11:33:46,2024-08-08 12:06:46,Prozess_C,Aufgabe_V
296,2024-07-24 08:08:46,2024-07-24 09:28:46,Prozess_E,Aufgabe_Z
297,2024-07-13 01:42:46,2024-07-13 01:47:46,Prozess_D,Aufgabe_X
298,2024-08-06 18:24:46,2024-08-06 18:51:46,Prozess_E,Aufgabe_W
299,2024-07-11 08:08:46,2024-07-11 09:26:46,Prozess_A,Aufgabe_Z
300,2024-07-26 15:55:46,2024-07-26 16:49:46,Prozess_D,Aufgabe_V
301,2024-07-20 11:44:46,2024-07-20 13:35:46,Prozess_C,Aufgabe_V
302,2024-07-30 15:13:46,2024-07-30 15:59:46,Prozess_A,Aufgabe_W
303,2024-07-14 05:37:46,2024-07-14 06:59:46,Prozess_E,Aufgabe_X
304,2024-07-12 08:10:46,2024-07-12 09:51:46,Prozess_D,Aufgabe_Z
305,2024-08-03 17:35:46,2024-08-03 18:29:46,Prozess_D,Aufgabe_X
306,2024-07-17 14:01:46,2024-07-17 14:41:46,Prozess_D,Aufgabe_Y
307,2024-07-20 09:56:46,2024-07-20 11:19:46,Prozess_E,Aufgabe_Z
308,2024-07-17 22:34:46,2024-07-17 23:03:46,Prozess_A,Aufgabe_X
309,2024-07-25 02:17:46,2024-07-25 03:57:46,Prozess_C,Aufgabe_Y
310,2024-08-01 17:14:46,2024-08-01 17:22:46,Prozess_B,Aufgabe_X
311,2024-07-31 17:55:46,2024-07-31 18:08:46,Prozess_A,Aufgabe_W
312,2024-07-14 14:51:46,2024-07-14 16:01:46,Prozess_A,Aufgabe_W
313,2024-08-06 22:02:46,2024-08-06 22:32:46,Prozess_D,Aufgabe_Z
